Title,URL,Keywords,Category
AllSides Balanced News Feed,https://www.allsides.com/news/rss,"['balanced', 'feed', 'allsides']",abortion
"Abortion Rises in Importance as a Voting Issue, Driven by Democrats",https://www.allsides.com/news/2022-08-23-1217/abortion-rises-importance-voting-issue-driven-democrats,"['midterm', 'voters', 'democrats', 'registered', 'issue', 'united', 'driven', 'voting', 'important', 'importance', 'abortion', 'virtually', 'vote', 'rises']",abortion
About six-in-ten Americans say abortion should be legal in all or most cases,https://www.allsides.com/news/2022-06-16-1138/about-six-ten-americans-say-abortion-should-be-legal-all-or-most-cases,"['legal', 'say', 'americans', 'research', 'sixinten', 'think', 'unchanged', 'survey', 'latest', 'abortion', 'cases', 'wider', 'views']",abortion
What the data says about abortion in the U.S.,https://www.allsides.com/news/2022-05-30-2023/what-data-says-about-abortion-us,"['wade', 'legal', 'say', 'v', 'surveys', 'womens', 'data', 'survey', 'abortion', 'timewith', 'views']",abortion
"Like Americans overall, Catholics vary in their abortion views, with regular Mass attenders most opposed",https://www.allsides.com/news/2022-05-23-2155/americans-overall-catholics-vary-their-abortion-views-regular-mass-attenders,"['mass', 'legal', 'americans', 'overall', 'vary', 'unborn', 'think', 'states', 'united', 'opposed', 'abortion', 'regular', 'catholics', 'surveyand', 'attenders', 'life', 'views', 'teaching']",abortion
"Wide partisan gaps in abortion attitudes, but opinions in both parties are complicated",https://www.allsides.com/news/2022-05-07-1211/wide-partisan-gaps-abortion-attitudes-opinions-both-parties-are-complicated,"['wide', 'say', 'research', 'opinions', 'gaps', 'sixinten', 'complicated', 'partisan', 'attitudes', 'survey', 'study', 'rights', 'republicans', 'abortion', 'cases', 'parties']",abortion
WWW Error Blocked Diagnostic,https://www.allsides.com/news/2022-04-29-1240/psychological-consequences-abortion-among-post-abortion-care-seeking-women,"['understand', 'www', 'better', 'temporarily', 'virus', 'error', 'blocked', 'access', 'work', 'wwwncbinlmnihgov', 'system', 'website', 'diagnostic', 'site']",abortion
Major Psychological Effects Associated With Abortion – Physicians for Life,https://www.allsides.com/news/2022-04-29-1234/major-psychological-effects-associated-abortion,"['effects', 'ptsd', 'major', 'abuse', 'postabortion', 'physicians', 'psychological', 'pregnancy', 'women', 'al', 'study', 'associated', 'abortion', 'abortions', 'et', 'life']",abortion
USA TODAY,https://www.allsides.com/news/2021-11-02-1035/what-did-roe-v-wade-actually-say-landmark-abortion-rights-ruling-explained,"['provides', 'usa', 'reporting', 'issues', 'diverse', 'today', 'perspectives', 'daily', 'newsletter', 'days', 'popular', 'updated']",abortion
Texas’ new law forces Americans to have the abortion debate we need,https://www.allsides.com/news/2021-11-02-1034/texas-new-law-forces-americans-have-abortion-debate-we-need,"['roe', 'legislatures', 'need', 'americans', 'law', 'forces', 'states', 'v', 'liberal', 'texas', 'debate', 'court', 'supreme', 'abortion', 'power']",abortion
About six-in-ten Americans say abortion should be legal in all or most cases,https://www.allsides.com/news/2021-09-02-1105/about-six-ten-americans-say-abortion-should-be-legal-all-or-most-cases,"['legal', 'say', 'americans', 'states', 'sixinten', 'think', 'sharply', 'unchanged', 'united', 'partisan', 'survey', 'abortion', 'cases', 'views']",abortion
Key facts about the abortion debate in America,https://www.allsides.com/news/2021-08-24-0552/key-facts-about-abortion-debate-america,"['say', 'legal', 'morally', 'debate', 'america', 'survey', 'adults', 'women', 'abortion', 'cases', 'facts', 'key', 'views', 'men']",abortion
Record-High 47% in U.S. Think Abortion Is Morally Acceptable,https://www.allsides.com/news/2021-06-09-1539/record-high-47-us-think-abortion-morally-acceptable,"['zero', 'acceptable', 'say', 'morally', 'gap', 'think', '47', 'varied', 'wrong', 'abortion', 'points', 'recordhigh', 'views']",abortion
Americans Still Oppose Overturning Roe v. Wade,https://www.allsides.com/news/2021-06-09-1011/americans-still-oppose-overturning-roe-v-wade,"['overturning', 'wade', 'roe', 'v', 'americans', 'wanted', 'todays', 'viability', 'oppose', 'weeks', 'abortion', 'decision', 'update']",abortion
Think Your Tax Dollars Will Never Fund Abortion? Don't Be So Sure.,https://www.allsides.com/news/2021-05-25-1622/think-your-tax-dollars-will-never-fund-abortion-dont-be-so-sure,"['minority', 'lives', 'support', 'fund', 'think', 'federal', 'dollars', 'taxpayer', 'women', 'amendment', 'sure', 'abortion', 'dont', 'hyde', 'way', 'tax']",abortion
Does Federal Funding Cover Abortions?,https://www.allsides.com/news/2021-05-25-1613/does-federal-funding-cover-abortions,"['hyde', 'programs', 'research', 'public', 'cover', 'does', 'amendment', 'abortion', 'majority', 'abortions', 'health', 'federal', 'funding']",abortion
The Hyde Amendment Has Perpetuated Inequality in Abortion Access for 40 Years,https://www.allsides.com/news/2021-05-25-1603/hyde-amendment-has-perpetuated-inequality-abortion-access-40-years,"['40', 'perpetuated', 'reproductive', 'federal', 'inequality', 'care', 'women', 'amendment', 'abortion', 'hyde', 'health', 'access', 'coverage']",abortion
Americans' Abortion Views Steady in Past Year,https://www.allsides.com/news/2020-08-12-2342/americans-abortion-views-steady-past-year,"['observed', 'measure', 'recent', 'americans', 'overall', 'similar', 'steady', 'division', 'stable', 'prochoice', 'prolife', 'abortion', 'stance', 'past', 'views']",abortion
Potential Impact of Trump's Public Pro-Life Stance,https://www.allsides.com/news/2020-08-12-2341/potential-impact-trumps-public-pro-life-stance,"['supporters', 'speak', 'president', 'public', 'trump', 'impact', 'sitting', 'prolife', 'potential', 'stance', 'actions', 'washington', 'strong', 'trumps', 'staunchly']",abortion
One in Four Americans Consider Abortion a Key Voting Issue,https://www.allsides.com/news/2020-08-12-2340/one-four-americans-consider-abortion-key-voting-issue,"['consider', 'say', 'major', 'americans', 'views', 'steady', 'issue', 'voting', 'adults', 'supreme', 'abortion', 'key', 'vote']",abortion
The Science of Abortion: When Does Life Begin?,https://www.allsides.com/news/2020-08-12-2340/science-abortion-when-does-life-begin,"['ask', 'thing', 'thats', 'warming', 'does', 'science', 'begin', 'human', 'abortion', 'wag', 'begins', 'life', 'senator']",abortion
Partisanship a bigger factor than geography in views of abortion access locally,https://www.allsides.com/news/2020-08-12-2338/partisanship-bigger-factor-geography-views-abortion-access-locally,"['clinics', 'times', 'recent', 'states', 'locally', 'partisanship', 'geography', 'bigger', 'york', 'united', 'access', 'abortion', 'obtain', 'factor', 'views', 'yearsproximity']",abortion
Three-in-ten or more Democrats and Republicans don’t agree with their party on abortion,https://www.allsides.com/news/2020-08-12-2337/three-ten-or-more-democrats-and-republicans-don-t-agree-their-party-abortion,"['support', 'party', 'democrats', 'starkly', 'stark', 'true', 'threeinten', 'survey', 'republicans', 'abortion', 'dont', 'position', 'agree']",abortion
Public Opinion on Abortion,https://www.allsides.com/news/2020-08-12-2336/public-opinion-abortion,"['legal', 'say', 'support', 'remains', 'polling', 'public', 'opinion', 'abortion', 'cases', 'high', 'illegal']",abortion
,https://www.allsides.com/news/2020-08-12-2324/second-state-ends-abortion-tearing-fetuses-apart,[],abortion
The Moral Rot of the Left’s Abortion Agenda,https://www.allsides.com/news/2020-08-12-2323/moral-rot-left-s-abortion-agenda,"['trans', 'death', 'bill', 'beings', 'tran', 'womans', 'birth', 'human', 'york', 'moral', 'agenda', 'abortion', 'rot', 'lefts']",abortion
"Sex, contraception, or abortion? Explaining class gaps in unintended childbearing",https://www.allsides.com/news/2020-08-12-2321/sex-contraception-or-abortion-explaining-class-gaps-unintended-childbearing,"['explaining', 'gaps', 'income', 'rates', 'sex', 'childbearing', 'unintended', 'class', 'sexual', 'woman', 'abortion', 'contraception']",abortion
The implications of inequalities in contraception and abortion,https://www.allsides.com/news/2020-08-12-2320/implications-inequalities-contraception-and-abortion,"['single', 'inequalities', 'income', 'gap', 'implications', 'rates', 'affluent', 'birth', 'unintended', 'women', 'abortion', 'contraception']",abortion
